Grant ID,table
2253278-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-09-02</Date>
			<Description>Resident Salary/Benefits</Description>
			<Amount>900</Amount>
		</Row>
		<Row>
			<Expense-Category>Recruitment</Expense-Category>
			<Date>2022-12-28</Date>
			<Description>Open House Event for Interviewed Applicants</Description>
			<Amount>400</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Workshops, Conferences or Retreat</Expense-Category>
			<Date>2022-10-14</Date>
			<Description>Residency Retreat</Description>
			<Amount>8300</Amount>
		</Row>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-11-30</Date>
			<Description>Reimbursement for PGY1 PTLs and DEA licenses</Description>
			<Amount>13000</Amount>
		</Row>
		<Row>
			<Expense-Category>Educational Materials</Expense-Category>
			<Date>2022-12-16</Date>
			<Description>Subscriptions to medical resources (AAFP, AMA, Online MedEd, Yale Curriculum)</Description>
			<Amount>2000</Amount>
		</Row>
		<Row>
			<Expense-Category>Resident Well-Being</Expense-Category>
			<Date>2022-11-18</Date>
			<Description>Funds for Wellness Committee Events</Description>
			<Amount>400</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253171-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Offset of stipends and benefits for 2 residents.</Description>
			<Amount>60000</Amount>
		</Row>
		<total>
			<Amount>60000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>60000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>60000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253171-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Offset of resident stipends and benefits</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253171-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Offset of resident stipend and benefits</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253266-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Memberships, Subscriptions, and Professional Activity Costs</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>ACGME Annual Dues</Description>
			<Amount>5000</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Offset of resident stipends and benefits for 3 residents</Description>
			<Amount>65550.21</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Offset of supervising physician salaries/stipends and benefits</Description>
			<Amount>41949.79</Amount>
		</Row>
		<total>
			<Amount>112500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>112500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>112500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253266-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Resident stipend and benefits.</Description>
			<Amount>37500</Amount>
		</Row>
		<total>
			<Amount>37500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>37500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>37500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253173-1920,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-06-29</Date>
			<Description>Faculty/Staff and Resident Salaries</Description>
			<Amount>30000</Amount>
		</Row>
		<total>
			<Amount>30000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>30000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>30000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253173-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-06-29</Date>
			<Description>Faculty Staff &amp; Resident Salaries</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253173-2122,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-06-29</Date>
			<Description>Teresa Ku-Borden, MD</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
2253210-2021,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages</Expense-Category>
			<Date>2022-12-30</Date>
			<Description>Internal Medicine Resident</Description>
			<Amount>25000</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>"
