"Grant.ID","category","date","description","amount"
"2253278-2122","Salaries, Benefits and Wages","
  2022-09-02","
  Resident Salary/Benefits","
  900
"
"2253278-2122","Recruitment","
  2022-12-28","
  Open House Event for Interviewed Applicants","
  400
"
"2253278-2122","Educational Workshops, Conferences or Retreat","
  2022-10-14","
  Residency Retreat","
  8300
"
"2253278-2122","Licensing Fees","
  2022-11-30","
  Reimbursement for PGY1 PTLs and DEA licenses","
  13000
"
"2253278-2122","Educational Materials","
  2022-12-16","
  Subscriptions to medical resources (AAFP, AMA, Online MedEd, Yale Curriculum)","
  2000
"
"2253278-2122","Resident Well-Being","
  2022-11-18","
  Funds for Wellness Committee Events","
  400
"
"2253171-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Offset of stipends and benefits for 2 residents.","
  60000
"
"2253171-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Offset of resident stipends and benefits","
  25000
"
"2253171-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Offset of resident stipend and benefits","
  25000
"
"2253266-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-30","
  ACGME Annual Dues","
  5000
"
"2253266-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Offset of resident stipends and benefits for 3 residents","
  65550.21
"
"2253266-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Offset of supervising physician salaries/stipends and benefits","
  41949.79
"
"2253266-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident stipend and benefits.","
  37500
"
"2253173-1920","Salaries, Benefits and Wages","
  2022-06-29","
  Faculty/Staff and Resident Salaries","
  30000
"
"2253173-2021","Salaries, Benefits and Wages","
  2022-06-29","
  Faculty Staff &amp; Resident Salaries","
  25000
"
"2253173-2122","Salaries, Benefits and Wages","
  2022-06-29","
  Teresa Ku-Borden, MD","
  25000
"
"2253210-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Internal Medicine Resident","
  25000
"
"2253210-2122","Salaries, Benefits and Wages","
  2022-12-30","
  OB GYN Residents","
  30000
"
"2253232-1920","Salaries, Benefits and Wages","
  2022-12-30","
  OB-GYN Resident Salaries","
  80000
"
"2253232-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Resident Salaries","
  100000
"
"2253232-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident and Faculty Salaries","
  75000
"
"2253156-1819","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Octavio Viramontes","
  46504.35
"
"2253156-1819","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Nadir Zaidi","
  46504.35
"
"2253156-1819","Salaries, Benefits and Wages","
  2022-12-30","
  Remaining funds covered by/Billed to AHS","
  -18008.7
"
"2253156-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Tushara Surapaneni","
  44307.18
"
"2253156-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Tushara Surapaneni covered by AHS","
  -19307.18
"
"2253156-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Raghav Goyal","
  36830.99
"
"2253156-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) covered by AHS for Raghav Goyal ","
  -11830.99
"
"2253156-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Jordan Mullings","
  38941.17
"
"2253156-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) covered by AHS for Jordan Mullings","
  -13941.17
"
"2253211-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Ahmed Garieballa","
  41763.14
"
"2253211-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) covered by AHS for Ahmed Garieballa","
  -16763.14
"
"2253211-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Samantha Garcia","
  39976.42
"
"2253211-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) for Ebunoluwa Oshinuga","
  39976.42
"
"2253211-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Gross Pay ( 07/01/22 - 12/31/22) remaining amount covered by AHS.","
  -29952.84
"
"2253259-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Provided $30,000 toward one resident salary at 0.41 FTE and $7,500 toward fringe benefits (20%). ","
  37500
"
"2253259-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Provided $60,000 toward two resident salaries at 0.4 FTE and $15,000 toward fringe benefits (20%). ","
  75000
"
"2253259-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Provided $90,000 toward two (2) PGY1 resident salaries at 0.80 FTE and $22,500 toward fringe benefits (20%). ","
  112500
"
"2253175-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Salaries and Benefits- Dr. Yu from Jul-Dec 2022","
  60083.44
"
"2253175-1920","Unused Funds","
  2022-12-30","
  Salaries and Benefits- Dr. Yu, Dr. Oluyadi Jul-Dec 2022","
  65936.56
"
"2253175-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Salaries Dr. Lisa Barkley, Dr. Yu, Dr. Bowens Jul-Dec 2022","
  21047.92
"
"2253175-2122","Unused Funds","
  2022-12-30","
  Projected expenses; salaries for Dr. Lisa, Dr. Yun, Dr. Bowens","
  3952.08
"
"2253234-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Resident salaries and fringe benefits for 1.7 FTE (Amina Larbah 0.5 FTE for $44,140, Victoria Goldman 0.5 FTE for $44,140, Aida Siyahian o.5 FTE for $44,140 and John Arsenaut .20 FTE for $17,578)","
  150000
"
"2253234-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Resident salaries and fringe benefits for 1.82 FTE (0.5 FTE for Camille Davis $41,156, 0.5 FTE for Sebastian Gauly $41,156 , 0.5 FTE for Jesus Naranjo $41,156  and 0.32 FTE for Yogavedya Mukkamala $26,531)","
  150000
"
"2253234-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Resident salaries and fringe benefits for 1.38 FTE (0.5 FTE for Ann Grandis $39,853, 0.5 FTE for Lavinia Mitroi $39,853, 0.19 FTE for Jacqueline Antoun $15,164 and 0.19 FTE for Jamie Atienza $15,164)","
  110000
"
"2253177-1920","Faculty Development","
  2022-11-09","
  test","
  20000
"
"2253177-1920","Educational Workshops, Conferences or Retreat","
  2022-10-20","
  test","
  20000
"
"2253177-1920","Educational Workshops, Conferences or Retreat","
  2022-07-20","
  test","
  20000
"
"2253220-1920","Salaries, Benefits and Wages","
  2022-11-01","
  Resident Salary, 27,500 x 2 residents = 55,000","
  55000
"
"2253220-2021","Salaries, Benefits and Wages","
  2022-11-01","
  Resident Salary","
  25000
"
"2253220-2122","Salaries, Benefits and Wages","
  2022-11-01","
  Resident Salary","
  25000
"
"2253178-1920","Educational Materials","
  2022-07-06","
  ATLS Training + True Learn","
  15000
"
"2253178-1920","Faculty Development","
  2022-09-12","
  Faculty Development guest speaker","
  800
"
"2253178-1920","Graduation","
  2022-07-05","
  Graduation Expenses","
  1200
"
"2253178-1920","Licensing Fees","
  2022-07-20","
  Full license fees for 2nd Year Residents","
  5500
"
"2253178-1920","Resident Well-Being","
  2022-08-24","
  Resident bonding events","
  2500
"
"2253178-1920","Salaries, Benefits and Wages","
  2022-09-22","
  Education Stipend","
  5000
"
"2253178-2122","Educational Workshops, Conferences or Retreat","
  2022-08-06","
  Point of Care Ultrasound Training + Code simulation training","
  13000
"
"2253178-2122","Licensing Fees","
  2022-07-12","
  DEA Licenses for 2nd year residents","
  4880
"
"2253178-2122","Graduation","
  2022-07-06","
  Graduation Expenses","
  1500
"
"2253178-2122","Faculty Development","
  2022-09-14","
  Guest lecturer for faculty development","
  1400
"
"2253178-2122","Educational Materials","
  2022-11-16","
  NEJM Healer","
  4220
"
"2253214-1920","Educational Workshops, Conferences or Retreat","
  2022-08-06","
  Point of care ultrasound training for residents","
  8000
"
"2253214-1920","Graduation","
  2022-07-06","
  Graduation Expenses","
  2350
"
"2253214-1920","Licensing Fees","
  2022-07-15","
  Full License fees","
  5000
"
"2253214-1920","Travel","
  2022-11-16","
  Travel to conferences","
  4250
"
